,values,tweet_text
0,-1,"b'Only some businesses can open this wk. Yes they wanna open florists for Mother\xe2\x80\x99s Day big push, bookstores. I don\xe2\x80\x99t get \xe2\x80\x9cmusic stores\xe2\x80\x9d (we don\xe2\x80\x99t have them) &amp; what other retailers will reopen? I think he\xe2\x80\x99s caving to criticism w/not enough testing. #COVID19 #coronavirus #california https://t.co/soprPf0n71'"
1,-1,b'#California nurse just confirmed they are all saying the #vaccine will be mandatory when it comes out. We saw this coming. Say goodbye to your rights or hello to more #protests in the #covid19 fear saga!'
2,-1,"b'I really wish phase 2 included hair and nail salons. If you tweet me about keeping perspective or whatever, I will block you! #COVID19 #California \xf0\x9f\x92\x85\xf0\x9f\x92\x87\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'"
3,0,b'#California loosens rules for visitor in hospitals and #nursinghomes. Allows 1 visitor for physical or mental needs. https://t.co/V9Usx4NhsS @CAPublicHealth #COVID19'
4,1,"b'This is welcome news for #California. Policy decisions must be based on science, not conjecture.  The new data on #COVID19 supports the safe reopening of certain establishments. https://t.co/oddzLdwpL6'"
5,0,"b'I\xe2\x80\x99ll be continuing to #StayAtHome and will still be #SocialDistancing, including wearing a mask to only essential public locations. Even if parts of the #economy reopen, anyone who is at risk for #COVID19 would be wise to continue taking care of ourselves and others: #California https://t.co/0kPPhBjeus'"
6,0,b'#California becomes the first state to borrow cash from the federal government to pay out #unemployment benefits. @GavinNewsom @CAgovernor #Covid19 https://t.co/SuBXx5gCoj via @businessinsider'
7,1,"b""Gavin Newsom gives green light for phase two of California's reopening plan  #California #Coronavirus #Covid19 #GavinNewsom https://t.co/bMizLilwt5 https://t.co/QaXfvymNM6"""
8,0,b'Man goes to California supermarket with Ku Klux Klan hoodie #California #Coronavirus #Covid19 https://t.co/zD6bnk1VZ1 https://t.co/svLlCBiCIh'
9,1,b'We will get through this together! #AllIn #CaliforniaStrong #CACounties #AllInThisTogether #California #coronapandemic #coronavirus #COVID19 #localgovernment #countygovernment #ShelterInPlaceCA #StayAtHome #CSAC @CAgovernor @GavinNewsom @RuralCounties @CaCities @CSDAdistricts https://t.co/mHTJgj8ZfA'
