,values,tweet_text
0,-1,b'@NatlGovsAssoc ..How can any one of you open up your state when NONE of you have met the #CDC guidelines of 14 continuous days of declining cases/deaths for #COVID19??? Thankfully I live in #Massachusetts and next to #NewYork. @MassGovernor and @NYGovCuomo fukn get it! #COVIDIOTS https://t.co/aWNjrWA3qs'
1,-1,"b'A #Nevada #nurse who travelled to #NewYork to help treat #COVID19 patients has posted a tearful Facebook Live video claiming that patients are not dying from the virus, but are being \xe2\x80\x9c#murdered\xe2\x80\x9d by \xe2\x80\x9cgross #negligence and complete medical #mismanagement.\xe2\x80\x9d'"
2,0,b'Day 16 I am outside within this quarantine period #NewYorkCity #NYC #NewYork #CentralPark #COVID19 https://t.co/pUlsI1ezbZ'
3,0,b'Day 16 I am outside within this quarantine period #NewYorkCity #NYC #NewYork #CentralPark #COVID19 https://t.co/MrFgK9vWuL'
4,0,b'Day 16 I am outside within this quarantine period #NewYorkCity #NYC #NewYork #COVID19 https://t.co/z2H3XloYg6'
5,0,b'Day 16 I am outside within this quarantine period #NewYorkCity #NYC #NewYork #COVID19 https://t.co/4cWBWOunun'
6,-1,b'@conservmillen #NewYork hospitals are literally the worst in the nation. We are in #lockdown because #COVID19 has exposed their routine slaughterhouse #standardofcare.   https://t.co/cuki4bTT4U'
7,0,"b""Couple host 'pants optional' wedding on Zoom amid lockdown... #Zoom #Wedding #Lockdown #NewYork #Coronavirus #CoronavirusPandemic  #Covid_19 #Pandemic #COVID #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/UQDksBxSM7"""
8,0,"b""Checkout NYS Senator @AnnaMKaplan's #COVID19 Local Update &amp; #CommunityResources Guide For Recap of Important Local Info &amp; Services  #LongIsland #NassauCounty #Nassau #Westbury #Roslyn #Mineola #FloralPark #NewCassel #NewYork #LI #EssentialWorkers #SocialDistance @FF_NassauCounty https://t.co/0gLvdMdlRj"""
9,0,b'Nurse Blows Whistle on Medical Malpractice &amp; Neglect https://t.co/6w6jub7med via @YouTube #COVID\xe3\x83\xbc19 #COVID19 True #heroes tell the truth. #FakeVirus #FactsMatter #NewYork'
