,values,tweet_text
0,-1,b'So why did we cancel #SXSW &amp; shutdown for 6 weeks if we are just going to re-open after the MOST deaths?????????   THIS NEVER HAD ANYTHING TO DO WITH SAFETY   #Texas  #Covid19'
1,0,b'How does a #pandemic like #coronavirus (COVID-19) impact your personal injury or #caraccident case? Find out now: https://t.co/vIAMCoRNf1 #COVID19 #DavidKohm #Dallas #FortWorth #Texas #lawyer #lawfirm #DFW https://t.co/IKXISGiQTc'
2,0,"b'@SenTedCruz As #Texas continues to #ReOpen it is important to #MaskUp. We are a Dallas based, Medical Device company with #affordable and #reliable #facemasks. Orders done directly on our site: https://t.co/HknJKJBLd8 #Covid19 #Masks4all #CovidPanemic #ReOpenTexas #TexasStrong #TexasReopens https://t.co/PKQJqKe0bJ'"
3,0,"b'#Travis County, #Texas #COVID19 hospitalizations,  updated with numbers on 5/4. #ATX #austintexas https://t.co/lIGsuRJweF'"
4,0,"b'#Travis County, #Texas #COVID19 case counts and death tolls - updated with numbers on 5/4. #austintexas #ATX https://t.co/WU3K48Irvh'"
5,-1,"b'Hey guys! It\'s been 1 weekend since Texas started ""opening up"" and positive infections are SPIKING across the state! We had an 80% increase just in my county alone! Great job, @GovAbbott!\xf0\x9f\x99\x83 #COVID19 #Texas #RepublicansAreKillingUs'"
6,0,b'Churches and religious gatherings have been linked to deadly outbreaks of coronavirus (COVID-19). #Texas #Church #COVID19 #Coronavirus #CoronavirusLawsuit \xe2\x80\x94 https://t.co/VCfwtP5noc https://t.co/YNVNEO1ES9'
7,-1,"b'It needs be be crystal clear who is to blame in Texas when our infection and death rates skyrocket in the next month, which they will. The GOP start to finish has blood on their hands. #COVID19 #Texas'"
8,0,"b""As some states relax their #stayathome orders around the country, revised research model project at least 134,475 more #Covid19 deaths.   8 states including #Texas have seen a spike in #coronavirus deaths.  #California says it will re-open 'low risk businesses'"""
9,0,"b""JUST IN: Nearly half of all #Texas #coronavirus deaths have been nursing home/assisted living facility residents.   @TexasHHSC reports 395 people have died of #COVID19 at senior care facilities. That's 45% of all Texas deaths.  3 weeks ago, it was just 16% of Texas deaths. @KVUE https://t.co/8Ws2M53fWb"""
10,-1,"b'#SoFurious right now. There I was, telling my cat how she really needs to get tested because #NuecesCounty is a major hot spot for #COVID19 in #Texas (99 cases), when I discovered the Corpus Christi LGBT community apparently doesn\xe2\x80\x99t support my candidacy like I demanded! \xf0\x9f\xa4\xac\xf0\x9f\x98\xa1\xf0\x9f\x98\xa4. https://t.co/L6veR6WNto'"
11,0,"b'Do you know that you will earn Bitcoin for free without doing anything, just by keeping the computer on? I recommend, additional earnings! Take a look .. https://t.co/XgyYbkrPkW  #mondaythoughts #MondayMotivaton #House #COVID19 #Chimesweeps Pulitzer #NewZealand #Texas #Motivation'"
12,0,b'@realDonaldTrump You need to pay attention to what is going on in the US. #gallup #texas #georgia   #COVID19'
13,0,b'CLICK THE LINK IN OUR BIO TO LISTEN TO OUR PODCAST \xf0\x9f\x8e\x99 #staysafe #covid19 #prayingfortheworld #podcastlife #podcastersofinstagram #bloggerstyle #bloggersofinstagram #florida #texas #detroit https://t.co/hW5fnucMYU'
14,-1,b'What is wrong with you Texas? #Texas #Texans #COVID\xe3\x83\xbc19 #COVID19 #MayThe4th #CovidDeaths #USA #America #AmericaStrong #AmericaFirst #Dumptrump #DumpTrump2020   https://t.co/ObfKOiyu7z'
15,0,"b""@CityOfDallas @Johnson4Dallas @judgeclayj Why doesn't this page reference wearing masks? It's hidden and impotently mentioned in Abbott's order, but why is it not on the main page? https://t.co/QOODurJLnm  #pandemic #dallas #texas #SARSCoV2 #covid19 #coronavirus"""
16,0,"b'Sales tax is the largest source of state funding for the state budget, accounting for 57 percent of all tax collections. https://t.co/dkgktrd1sI #texas #salestax #propertytax #news #covid19 https://t.co/a1Utseuq6Q'"
17,0,"b'#BlueAngelsFlyover! #Texas #Dallas #FortWorth #COVID19 #DFW Sugar baby looking for a honest sugar daddy should Dm now, that I will be giving her weekly allowances, $5000 #USA #OhioState  #Alabama #collegegirlslko'"
18,0,"b'""ReOpening"" just means that today....we have sufficient ICU beds for everyone.   #Texas #COVID19 @GovAbbott'"
19,0,b'The new statewide order remains in effect through May 15 and is subject to extension based on the status of #COVID19 in #Texas. https://t.co/a9bMLVOPAB'
